id,web_name,team,now_cost,element_type,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,dreamteam_count
605,Fernandes,17,46,3,62,0,0,0,1,0,0,0,0,0,0,0,7,0
615,Bergwijn,17,69,3,699,3,1,2,9,0,0,0,2,0,0,5,43,0
634,White,17,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,Cirkin,17,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,Holebas,18,46,2,1022,0,1,2,28,0,0,0,5,0,0,0,21,0
354,Kabasele,18,43,2,2250,0,2,7,35,0,0,0,1,2,0,4,73,1
355,Masina,18,43,2,1815,1,0,6,31,0,0,0,3,0,0,4,66,0
356,Mariappa,18,41,2,1509,0,0,3,33,1,0,0,4,1,0,1,26,0
357,Kiko Femenía,18,42,2,2236,0,1,5,46,0,0,0,5,0,0,0,54,0
358,Cathcart,18,41,2,2488,0,0,9,37,0,0,0,7,0,0,3,77,1
359,Janmaat,18,40,2,606,0,1,4,5,1,0,0,1,0,0,7,36,1
360,Navarro,18,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,Prödl,18,39,2,56,0,0,0,0,0,0,0,0,0,0,0,1,9
362,Deeney,18,62,4,2224,10,2,6,39,0,0,1,3,0,0,15,109,2
363,Deulofeu,18,61,4,2097,4,5,8,33,0,0,0,3,0,0,9,88,2
