,player_name,team_name,ids,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam
530,Kean,Everton,496,90,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18.8,80.0,9.8,2,False
531,McBurnie,Sheffield Utd,501,83,0,0,1,0,0,0,0,0,0,0,0,7,5.8,2.6,0.0,0.8,2,False
532,Maupay,Brighton,502,81,0,0,1,0,0,0,0,0,0,0,0,3,0.0,4.2,95.0,9.9,2,False
533,Martinelli,Arsenal,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
534,Parrott,Spurs,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
535,Welbeck,Watford,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
536,Ajeti,West Ham,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
537,Carroll,Newcastle,520,8,0,0,0,0,0,0,0,0,0,0,0,3,4.2,10.6,4.0,1.9,1,False
538,Connolly,Brighton,534,20,0,0,0,0,0,0,0,0,0,0,0,1,2.0,4.8,18.0,2.5,1,False
539,N'Lundulu,Southampton,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
540,Idah,Norwich,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
