,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
77,Todd Cantwell,eng ENG,"FW,MF",Norwich City,21,1998,37,30,"2,489",6,2,0,0,6,0,0.22,0.07,0.29,0.22,0.29,5.9,5.9,2.7,0.21,0.10,0.31,0.21,0.31,Matches
78,Étienne Capoue,fr FRA,MF,Watford,31,1988,30,30,"2,627",0,3,0,0,8,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,3.0,0.03,0.10,0.13,0.03,0.13,Matches
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,19,4,632,0,4,0,0,1,0,0.00,0.57,0.57,0.00,0.57,0.9,0.9,1.7,0.13,0.24,0.36,0.13,0.36,Matches
81,Jonny Castro,es ESP,DF,Wolves,25,1994,35,33,"2,887",2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,0.9,0.04,0.03,0.07,0.04,0.07,Matches
82,Craig Cathcart,nir NIR,DF,Watford,30,1989,29,28,"2,488",0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.01,0.00,0.01,0.01,0.01,Matches
83,Dani Ceballos,es ESP,MF,Arsenal,22,1996,24,18,"1,692",0,2,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,1.8,0.03,0.10,0.12,0.03,0.12,Matches
84,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,22,10,930,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,1.2,0.05,0.12,0.17,0.05,0.17,Matches
85,Calum Chambers,eng ENG,DF,Arsenal,24,1995,14,13,"1,102",1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.8,0.8,0.7,0.06,0.06,0.12,0.06,0.12,Matches
86,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,27,27,"2,373",3,3,0,0,3,0,0.11,0.11,0.23,0.11,0.23,0.9,0.9,3.5,0.04,0.13,0.17,0.04,0.17,Matches
87,Tahith Chong,nl NED,"FW,MF",Manchester Utd,19,1999,3,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.13,0.00,0.13,0.13,0.13,Matches
88,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,20,10,893,1,1,0,0,4,1,0.10,0.10,0.20,0.10,0.20,0.5,0.5,0.1,0.05,0.01,0.05,0.05,0.05,Matches
89,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,21,21,"1,751",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,0.04,0.06,0.09,0.04,0.09,Matches
90,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,14,14,"1,186",2,0,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.3,1.3,0.0,0.10,0.00,0.10,0.10,0.10,Matches
91,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,2,0,35,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,1.00,0.00,1.00,1.00,1.00,Matches
92,Tom Cleverley,eng ENG,MF,Watford,29,1989,18,11,971,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.6,1.6,0.5,0.14,0.05,0.19,0.14,0.19,Matches
93,Conor Coady,eng ENG,DF,Wolves,26,1993,38,38,"3,420",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.00,0.02,0.02,0.00,0.02,Matches
94,Séamus Coleman,ie IRL,DF,Everton,30,1988,27,21,"1,839",0,1,0,0,5,1,0.00,0.05,0.05,0.00,0.05,0.7,0.7,0.5,0.03,0.02,0.06,0.03,0.06,Matches
95,Aaron Connolly,ie IRL,FW,Brighton,19,2000,24,14,"1,258",3,1,0,0,0,0,0.21,0.07,0.29,0.21,0.29,3.1,3.1,0.3,0.22,0.02,0.24,0.22,0.24,Matches
96,Lewis Cook,eng ENG,MF,Bournemouth,22,1997,27,14,"1,352",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,0.02,0.06,0.08,0.02,0.08,Matches
97,Steve Cook,eng ENG,DF,Bournemouth,28,1991,29,28,"2,428",1,0,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.3,0.03,0.01,0.04,0.03,0.04,Matches
98,Jack Cork,eng ENG,MF,Burnley,30,1989,30,30,"2,613",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.7,0.06,0.02,0.08,0.06,0.08,Matches
