Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,30,30,2613,0,0,0,0,1,0,0,0,0,0,0,1.7,1.7,0.7,0.06,0.02,0.08,0.06,0.08,Matches
Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,31,31,2727,3,0,0,0,7,0,0.1,0,0.1,0.1,0.1,1.2,1.2,2,0.04,0.06,0.1,0.04,0.1,Matches
Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,12,3,297,2,0,0,0,0,0,0.61,0,0.61,0.61,0.61,2.4,2.4,0,0.73,0.01,0.74,0.73,0.74,Matches
Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,4,1,67,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.22,0,0.22,0.22,0.22,Matches
Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0.05,Matches
Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,16,14,1266,0,1,0,0,0,0,0,0.07,0.07,0,0.07,0.4,0.4,0.5,0.03,0.03,0.06,0.03,0.06,Matches
Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,6,3,277,0,1,0,0,2,1,0,0.32,0.32,0,0.32,0.1,0.1,0.2,0.03,0.07,0.1,0.03,0.1,Matches
Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,18,16,1431,0,0,0,0,6,0,0,0,0,0,0,0.2,0.2,0.6,0.01,0.04,0.05,0.01,0.05,Matches
Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,30,23,2027,1,0,0,0,8,0,0.04,0,0.04,0.04,0.04,1.9,1.9,0.3,0.08,0.01,0.1,0.08,0.1,Matches
Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,18,4,548,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,0.2,0.32,0.04,0.35,0.32,0.35,Matches
Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,29,26,2361,2,0,0,0,6,0,0.08,0,0.08,0.08,0.08,2.1,2.1,0.3,0.08,0.01,0.09,0.08,0.09,Matches
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,35,32,2791,13,20,2,2,3,0,0.42,0.64,1.06,0.35,1,7.6,6.1,18.4,0.24,0.59,0.84,0.2,0.79,Matches
Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,27,26,2225,10,2,5,6,3,0,0.4,0.08,0.49,0.2,0.28,9.8,5.3,3.4,0.4,0.14,0.53,0.21,0.35,Matches
Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,16,13,1190,0,0,0,0,5,1,0,0,0,0,0,0.1,0.1,0.3,0.01,0.02,0.03,0.01,0.03,Matches
Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,38,32,2795,4,0,0,0,5,0,0.13,0,0.13,0.13,0.13,1.7,1.7,0.6,0.05,0.02,0.07,0.05,0.07,Matches
Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,28,25,2098,4,5,1,1,3,0,0.17,0.21,0.39,0.13,0.34,5.2,4.5,4.6,0.22,0.2,0.42,0.19,0.39,Matches
Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,19,15,1344,0,2,0,0,5,0,0,0.13,0.13,0,0.13,1,1,0.1,0.07,0.01,0.07,0.07,0.07,Matches
Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,35,35,3030,0,7,0,0,6,0,0,0.21,0.21,0,0.21,1.5,1.5,5.7,0.04,0.17,0.21,0.04,0.21,Matches
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38,38,3420,5,1,0,0,1,0,0.13,0.03,0.16,0.13,0.16,2.7,2.7,1.3,0.07,0.03,0.11,0.07,0.11,Matches
Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,32,31,2766,3,1,0,0,8,0,0.1,0.03,0.13,0.1,0.13,1.5,1.5,0.8,0.05,0.03,0.08,0.05,0.08,Matches
Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,18,10,928,2,2,0,0,4,1,0.19,0.19,0.39,0.19,0.39,2.5,2.5,1.3,0.24,0.12,0.37,0.24,0.37,Matches
Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,36,32,2839,4,3,0,0,1,0,0.13,0.1,0.22,0.13,0.22,5.1,5.1,1.7,0.16,0.05,0.22,0.16,0.22,Matches
Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,37,36,3156,4,2,0,0,9,0,0.11,0.06,0.17,0.11,0.17,5,5,2.6,0.14,0.08,0.22,0.14,0.22,Matches
